registration_year,registration_month,registration_week,new_user_count,cumulative_new_users_count
2013,1,0,23,23
2013,1,1,30,53
2013,1,2,48,101
2013,1,3,36,137
2013,1,4,23,160
2013,2,4,7,167
2013,2,5,48,215
2013,2,6,38,253
2013,2,7,42,295
2013,2,8,25,320
2013,3,8,9,329
2013,3,9,43,372
2013,3,10,32,404
2013,3,11,31,435
2013,3,12,33,468
2013,3,13,2,470
2013,4,13,37,507
2013,4,14,35,542
2013,4,15,43,585
2013,4,16,46,631
2013,4,17,20,651
2013,5,17,29,680
2013,5,18,44,724
2013,5,19,57,781
2013,5,20,39,820
2013,5,21,45,865
2013,6,21,4,869
2013,6,22,54,923
2013,6,23,50,973
2013,6,24,45,1018
2013,6,25,57,1075
2013,6,26,3,1078
2013,7,26,53,1131
2013,7,27,52,1183
2013,7,28,72,1255
2013,7,29,67,1322
2013,7,30,40,1362
2013,8,30,27,1389
2013,8,31,67,1456
2013,8,32,71,1527
2013,8,33,73,1600
2013,8,34,78,1678
2013,9,35,63,1741
2013,9,36,72,1813
2013,9,37,85,1898
2013,9,38,90,1988
2013,9,39,20,2008
2013,10,39,64,2072
2013,10,40,87,2159
2013,10,41,73,2232
2013,10,42,99,2331
2013,10,43,67,2398
2013,11,43,22,2420
2013,11,44,96,2516
2013,11,45,91,2607
2013,11,46,88,2695
2013,11,47,102,2797
2013,12,48,97,2894
2013,12,49,116,3010
2013,12,50,124,3134
2013,12,51,102,3236
2013,12,52,47,3283
2014,1,0,83,3366
2014,1,1,126,3492
2014,1,2,109,3601
2014,1,3,113,3714
2014,1,4,121,3835
2014,2,4,9,3844
2014,2,5,133,3977
2014,2,6,135,4112
2014,2,7,125,4237
2014,2,8,123,4360
2014,3,8,6,4366
2014,3,9,133,4499
2014,3,10,154,4653
2014,3,11,130,4783
2014,3,12,148,4931
2014,3,13,44,4975
2014,4,13,123,5098
2014,4,14,162,5260
2014,4,15,164,5424
2014,4,16,179,5603
2014,4,17,98,5701
2014,5,17,72,5773
2014,5,18,163,5936
2014,5,19,185,6121
2014,5,20,176,6297
2014,5,21,183,6480
2014,6,22,196,6676
2014,6,23,196,6872
2014,6,24,229,7101
2014,6,25,207,7308
2014,6,26,45,7353
2014,7,26,156,7509
2014,7,27,222,7731
2014,7,28,215,7946
2014,7,29,221,8167
2014,7,30,183,8350
2014,8,30,55,8405
2014,8,31,193,8598
2014,8,32,245,8843
2014,8,33,261,9104
2014,8,34,259,9363
2014,8,35,18,9381
