user_id,signup_date,engagement_week,retained_users,total_retained_users
1428,"2013-04-29 10:33:00",17,1,138
1439,"2013-04-30 09:39:00",17,1,138
1509,"2013-05-03 13:32:00",17,1,138
1535,"2013-05-06 17:50:00",18,1,304
1549,"2013-05-07 19:15:00",18,1,304
1577,"2013-05-09 08:07:00",18,1,304
1622,"2013-05-12 23:55:00",19,1,495
1639,"2013-05-13 17:25:00",19,1,495
1689,"2013-05-16 22:37:00",19,1,495
1711,"2013-05-17 09:47:00",19,1,495
1712,"2013-05-17 13:20:00",19,1,495
1717,"2013-05-17 15:10:00",19,1,495
1733,"2013-05-20 08:13:00",20,1,672
1943,"2013-06-01 18:29:00",21,1,856
2179,"2013-06-17 13:12:00",24,1,1479
2240,"2013-06-20 15:41:00",24,1,1479
2325,"2013-06-25 15:55:00",25,1,1688
2386,"2013-06-27 15:59:00",25,1,1688
2524,"2013-07-05 14:47:00",26,1,1890
2564,"2013-07-08 10:58:00",27,1,2113
2777,"2013-07-18 07:58:00",28,1,2329
2916,"2013-07-25 11:39:00",29,1,2551
3061,"2013-08-02 05:03:00",30,1,2790
11571,"2014-04-27 18:45:00",17,1,138
11573,"2014-04-27 18:47:00",17,1,138
11578,"2014-04-27 20:39:00",17,1,138
11583,"2014-04-27 18:44:00",17,1,138
11591,"2014-04-28 05:14:00",17,1,138
11592,"2014-04-28 12:52:00",17,1,138
11594,"2014-04-28 09:33:00",17,1,138
11597,"2014-04-28 18:53:00",17,1,138
11599,"2014-04-28 14:45:00",17,1,138
11600,"2014-04-28 10:26:00",17,1,138
11601,"2014-04-28 15:23:00",17,1,138
11602,"2014-04-28 17:01:00",17,1,138
11603,"2014-04-28 12:40:00",17,1,138
11606,"2014-04-28 08:57:00",17,1,138
11607,"2014-04-28 11:50:00",17,1,138
11608,"2014-04-28 13:54:00",17,1,138
11609,"2014-04-28 11:57:00",17,1,138
11610,"2014-04-28 06:22:00",17,1,138
11611,"2014-04-28 17:16:00",17,1,138
11612,"2014-04-28 09:18:00",17,1,138
11614,"2014-04-28 09:39:00",17,1,138
11615,"2014-04-28 07:04:00",17,1,138
11616,"2014-04-28 18:42:00",17,1,138
11617,"2014-04-28 18:28:00",17,1,138
11621,"2014-04-28 11:07:00",17,1,138
11622,"2014-04-28 11:48:00",17,1,138
11624,"2014-04-28 20:58:00",17,1,138
11625,"2014-04-28 14:37:00",17,1,138
11626,"2014-04-28 22:04:00",17,1,138
11632,"2014-04-28 12:27:00",17,1,138
11633,"2014-04-28 10:44:00",17,1,138
11636,"2014-04-28 12:37:00",17,1,138
11640,"2014-04-28 06:38:00",17,1,138
11641,"2014-04-28 08:37:00",17,1,138
11642,"2014-04-28 00:31:00",17,1,138
11643,"2014-04-28 02:29:00",17,1,138
11644,"2014-04-28 16:04:00",17,1,138
11647,"2014-04-28 09:35:00",17,1,138
11651,"2014-04-29 03:46:00",17,1,138
11655,"2014-04-29 08:17:00",17,1,138
11656,"2014-04-29 12:36:00",17,1,138
11657,"2014-04-29 02:55:00",17,1,138
11659,"2014-04-29 08:41:00",17,1,138
11660,"2014-04-29 02:18:00",17,1,138
11661,"2014-04-29 17:31:00",17,1,138
11665,"2014-04-29 13:14:00",17,1,138
11666,"2014-04-29 16:59:00",17,1,138
11670,"2014-04-29 11:17:00",17,1,138
11673,"2014-04-29 15:59:00",17,1,138
11675,"2014-04-29 16:18:00",17,1,138
11676,"2014-04-29 14:11:00",17,1,138
11678,"2014-04-29 14:17:00",17,1,138
11680,"2014-04-29 10:18:00",17,1,138
11684,"2014-04-29 17:13:00",17,1,138
11687,"2014-04-29 09:52:00",17,1,138
11689,"2014-04-29 07:55:00",17,1,138
11695,"2014-04-29 07:23:00",17,1,138
11698,"2014-04-29 12:36:00",17,1,138
11699,"2014-04-29 14:22:00",17,1,138
11701,"2014-04-29 15:03:00",17,1,138
11702,"2014-04-29 08:40:00",17,1,138
11750,"2014-04-30 18:59:00",17,1,138
11756,"2014-04-30 08:14:00",17,1,138
11768,"2014-05-01 08:01:00",17,1,138
11770,"2014-05-01 06:07:00",17,1,138
11775,"2014-05-01 16:36:00",17,1,138
11778,"2014-05-01 18:48:00",17,1,138
11779,"2014-05-01 18:23:00",17,1,138
11780,"2014-05-01 10:32:00",17,1,138
11785,"2014-05-01 07:19:00",17,1,138
11787,"2014-05-01 18:21:00",17,1,138
11791,"2014-05-01 15:49:00",17,1,138
11793,"2014-05-01 09:27:00",17,1,138
11795,"2014-05-01 03:42:00",17,1,138
11798,"2014-05-01 23:11:00",17,1,138
11799,"2014-05-01 12:05:00",17,1,138
11801,"2014-05-01 10:14:00",17,1,138
11804,"2014-05-01 08:08:00",17,1,138
11806,"2014-05-01 12:26:00",17,1,138
11809,"2014-05-01 15:39:00",17,1,138
11811,"2014-05-01 13:57:00",17,1,138
11813,"2014-05-01 13:47:00",17,1,138
11816,"2014-05-01 13:49:00",17,1,138
11818,"2014-05-01 19:16:00",17,1,138
11820,"2014-05-01 19:55:00",17,1,138
11823,"2014-05-01 18:59:00",17,1,138
11824,"2014-05-01 17:53:00",17,1,138
11825,"2014-05-01 19:23:00",17,1,138
11826,"2014-05-01 12:46:00",17,1,138
11828,"2014-05-01 15:41:00",17,1,138
11829,"2014-05-01 18:35:00",17,1,138
11832,"2014-05-01 13:16:00",17,1,138
11833,"2014-05-01 16:43:00",17,1,138
11834,"2014-05-01 18:36:00",17,1,138
11838,"2014-05-01 19:55:00",17,1,138
11839,"2014-05-01 07:22:00",17,1,138
11840,"2014-05-01 13:46:00",17,1,138
11841,"2014-05-02 14:47:00",17,1,138
11842,"2014-05-02 16:47:00",17,1,138
11843,"2014-05-02 08:54:00",17,1,138
11844,"2014-05-02 16:38:00",17,1,138
11849,"2014-05-02 11:07:00",17,1,138
11850,"2014-05-02 03:50:00",17,1,138
11852,"2014-05-02 18:15:00",17,1,138
11854,"2014-05-02 07:43:00",17,1,138
11858,"2014-05-02 08:00:00",17,1,138
11859,"2014-05-02 03:56:00",17,1,138
11863,"2014-05-02 15:54:00",17,1,138
11864,"2014-05-02 04:46:00",17,1,138
11865,"2014-05-02 22:46:00",17,1,138
11868,"2014-05-02 15:16:00",17,1,138
11872,"2014-05-02 12:40:00",17,1,138
11874,"2014-05-02 11:47:00",17,1,138
11875,"2014-05-02 14:10:00",17,1,138
11876,"2014-05-02 12:42:00",17,1,138
11877,"2014-05-02 09:24:00",17,1,138
11879,"2014-05-02 16:59:00",17,1,138
11881,"2014-05-02 13:18:00",17,1,138
11882,"2014-05-02 14:09:00",17,1,138
11884,"2014-05-02 13:27:00",17,1,138
11887,"2014-05-02 11:21:00",17,1,138
11888,"2014-05-02 18:51:00",17,1,138
11889,"2014-05-02 09:18:00",17,1,138
11893,"2014-05-02 10:19:00",17,1,138
11894,"2014-05-02 06:06:00",17,1,138
11895,"2014-05-02 13:15:00",17,1,138
11896,"2014-05-02 19:15:00",17,1,138
11898,"2014-05-03 20:55:00",17,1,138
11899,"2014-05-03 13:02:00",17,1,138
11900,"2014-05-03 13:44:00",17,1,138
11901,"2014-05-03 10:31:00",17,1,138
11906,"2014-05-03 10:09:00",17,1,138
11908,"2014-05-03 23:04:00",17,1,138
11909,"2014-05-03 02:55:00",17,1,138
11914,"2014-05-03 17:06:00",17,1,138
11919,"2014-05-04 14:45:00",18,1,304
11920,"2014-05-04 00:16:00",18,1,304
11924,"2014-05-04 08:05:00",18,1,304
11926,"2014-05-04 07:40:00",18,1,304
11928,"2014-05-04 16:19:00",18,1,304
11929,"2014-05-04 04:16:00",18,1,304
11931,"2014-05-04 13:21:00",18,1,304
11933,"2014-05-04 11:56:00",18,1,304
11936,"2014-05-04 13:18:00",18,1,304
11939,"2014-05-05 18:33:00",18,1,304
11940,"2014-05-05 04:29:00",18,1,304
11942,"2014-05-05 08:25:00",18,1,304
11944,"2014-05-05 01:04:00",18,1,304
11947,"2014-05-05 10:35:00",18,1,304
11949,"2014-05-05 09:02:00",18,1,304
11953,"2014-05-05 15:38:00",18,1,304
11955,"2014-05-05 13:05:00",18,1,304
11960,"2014-05-05 02:56:00",18,1,304
11961,"2014-05-05 18:59:00",18,1,304
11962,"2014-05-05 16:17:00",18,1,304
11963,"2014-05-05 03:25:00",18,1,304
11971,"2014-05-05 12:37:00",18,1,304
11972,"2014-05-05 17:58:00",18,1,304
11973,"2014-05-05 17:12:00",18,1,304
11975,"2014-05-05 13:33:00",18,1,304
11981,"2014-05-05 05:19:00",18,1,304
11984,"2014-05-05 14:57:00",18,1,304
11986,"2014-05-05 08:17:00",18,1,304
11990,"2014-05-05 15:07:00",18,1,304
11991,"2014-05-05 10:26:00",18,1,304
11992,"2014-05-05 00:00:00",18,1,304
11994,"2014-05-05 14:13:00",18,1,304
11995,"2014-05-05 09:32:00",18,1,304
11997,"2014-05-06 10:20:00",18,1,304
11998,"2014-05-06 21:55:00",18,1,304
11999,"2014-05-06 18:29:00",18,1,304
12001,"2014-05-06 18:26:00",18,1,304
12005,"2014-05-06 15:07:00",18,1,304
12007,"2014-05-06 09:22:00",18,1,304
12010,"2014-05-06 09:54:00",18,1,304
12014,"2014-05-06 19:13:00",18,1,304
12019,"2014-05-06 18:04:00",18,1,304
12021,"2014-05-06 01:32:00",18,1,304
12022,"2014-05-06 23:04:00",18,1,304
12023,"2014-05-06 11:32:00",18,1,304
12026,"2014-05-06 15:35:00",18,1,304
12027,"2014-05-06 10:42:00",18,1,304
12028,"2014-05-06 10:47:00",18,1,304
12029,"2014-05-06 23:03:00",18,1,304
12030,"2014-05-06 08:46:00",18,1,304
12031,"2014-05-06 09:49:00",18,1,304
12033,"2014-05-06 18:58:00",18,1,304
12034,"2014-05-06 06:38:00",18,1,304
12035,"2014-05-06 22:46:00",18,1,304
12040,"2014-05-06 13:26:00",18,1,304
12042,"2014-05-06 18:24:00",18,1,304
12045,"2014-05-06 14:36:00",18,1,304
12048,"2014-05-06 18:53:00",18,1,304
12050,"2014-05-06 18:37:00",18,1,304
12053,"2014-05-06 17:07:00",18,1,304
12054,"2014-05-07 14:37:00",18,1,304
12056,"2014-05-07 18:22:00",18,1,304
12057,"2014-05-07 11:58:00",18,1,304
12058,"2014-05-07 15:52:00",18,1,304
12061,"2014-05-07 10:56:00",18,1,304
12063,"2014-05-07 03:58:00",18,1,304
12066,"2014-05-07 12:46:00",18,1,304
12072,"2014-05-07 18:30:00",18,1,304
12073,"2014-05-07 17:32:00",18,1,304
12074,"2014-05-07 13:10:00",18,1,304
12076,"2014-05-07 19:41:00",18,1,304
12077,"2014-05-07 09:53:00",18,1,304
12079,"2014-05-07 18:16:00",18,1,304
12081,"2014-05-07 09:01:00",18,1,304
12082,"2014-05-07 04:52:00",18,1,304
12084,"2014-05-07 08:17:00",18,1,304
12085,"2014-05-07 11:56:00",18,1,304
12087,"2014-05-07 18:39:00",18,1,304
12089,"2014-05-07 11:19:00",18,1,304
12093,"2014-05-07 18:48:00",18,1,304
12095,"2014-05-07 00:41:00",18,1,304
12097,"2014-05-07 14:33:00",18,1,304
12101,"2014-05-07 12:38:00",18,1,304
12102,"2014-05-07 18:48:00",18,1,304
12103,"2014-05-07 13:05:00",18,1,304
12106,"2014-05-07 21:31:00",18,1,304
12107,"2014-05-07 18:15:00",18,1,304
12111,"2014-05-07 07:47:00",18,1,304
12113,"2014-05-07 22:23:00",18,1,304
12118,"2014-05-07 14:38:00",18,1,304
12119,"2014-05-07 16:29:00",18,1,304
12120,"2014-05-07 15:00:00",18,1,304
12121,"2014-05-08 13:42:00",18,1,304
12122,"2014-05-08 14:17:00",18,1,304
12127,"2014-05-08 15:56:00",18,1,304
12133,"2014-05-08 18:28:00",18,1,304
12135,"2014-05-08 09:55:00",18,1,304
12136,"2014-05-08 13:29:00",18,1,304
12137,"2014-05-08 14:43:00",18,1,304
12138,"2014-05-08 17:31:00",18,1,304
12141,"2014-05-08 11:15:00",18,1,304
12144,"2014-05-08 18:09:00",18,1,304
12147,"2014-05-08 05:28:00",18,1,304
12148,"2014-05-08 12:53:00",18,1,304
12149,"2014-05-08 17:07:00",18,1,304
12151,"2014-05-08 09:19:00",18,1,304
12152,"2014-05-08 16:27:00",18,1,304
12153,"2014-05-08 09:04:00",18,1,304
12161,"2014-05-08 18:33:00",18,1,304
12162,"2014-05-08 10:39:00",18,1,304
12164,"2014-05-08 18:14:00",18,1,304
12165,"2014-05-08 16:29:00",18,1,304
12167,"2014-05-08 16:08:00",18,1,304
12169,"2014-05-08 15:58:00",18,1,304
12170,"2014-05-08 08:16:00",18,1,304
12171,"2014-05-08 16:01:00",18,1,304
12173,"2014-05-08 10:59:00",18,1,304
12174,"2014-05-08 19:07:00",18,1,304
12176,"2014-05-08 14:09:00",18,1,304
12178,"2014-05-08 15:50:00",18,1,304
12180,"2014-05-08 16:07:00",18,1,304
12181,"2014-05-08 10:09:00",18,1,304
12183,"2014-05-08 07:41:00",18,1,304
12184,"2014-05-08 10:24:00",18,1,304
12185,"2014-05-08 21:49:00",18,1,304
12188,"2014-05-09 16:28:00",18,1,304
12189,"2014-05-09 16:55:00",18,1,304
12191,"2014-05-09 12:37:00",18,1,304
12193,"2014-05-09 11:08:00",18,1,304
12196,"2014-05-09 16:48:00",18,1,304
12202,"2014-05-09 14:15:00",18,1,304
12205,"2014-05-09 12:36:00",18,1,304
12208,"2014-05-09 12:51:00",18,1,304
12212,"2014-05-09 20:18:00",18,1,304
12213,"2014-05-09 11:27:00",18,1,304
12214,"2014-05-09 18:31:00",18,1,304
12216,"2014-05-09 11:50:00",18,1,304
12217,"2014-05-09 19:26:00",18,1,304
12221,"2014-05-09 20:24:00",18,1,304
12225,"2014-05-09 11:17:00",18,1,304
12227,"2014-05-09 09:27:00",18,1,304
12228,"2014-05-09 13:02:00",18,1,304
12230,"2014-05-09 20:17:00",18,1,304
12233,"2014-05-09 11:41:00",18,1,304
12235,"2014-05-09 16:40:00",18,1,304
12236,"2014-05-09 04:29:00",18,1,304
12237,"2014-05-09 09:41:00",18,1,304
12238,"2014-05-09 15:15:00",18,1,304
12241,"2014-05-09 18:51:00",18,1,304
12243,"2014-05-09 10:21:00",18,1,304
12246,"2014-05-09 14:17:00",18,1,304
12247,"2014-05-09 18:26:00",18,1,304
12248,"2014-05-09 05:09:00",18,1,304
12249,"2014-05-09 10:08:00",18,1,304
12250,"2014-05-09 16:14:00",18,1,304
12251,"2014-05-09 11:19:00",18,1,304
12256,"2014-05-10 12:55:00",18,1,304
12263,"2014-05-10 09:41:00",18,1,304
12265,"2014-05-10 13:42:00",18,1,304
12266,"2014-05-10 17:30:00",18,1,304
12267,"2014-05-10 14:25:00",18,1,304
12268,"2014-05-10 14:42:00",18,1,304
12270,"2014-05-10 09:06:00",18,1,304
12277,"2014-05-11 19:50:00",19,1,495
12279,"2014-05-11 15:37:00",19,1,495
12281,"2014-05-11 15:41:00",19,1,495
12282,"2014-05-11 19:55:00",19,1,495
12284,"2014-05-11 18:02:00",19,1,495
12285,"2014-05-11 18:58:00",19,1,495
12290,"2014-05-12 09:08:00",19,1,495
12291,"2014-05-12 05:38:00",19,1,495
12292,"2014-05-12 16:18:00",19,1,495
12293,"2014-05-12 10:38:00",19,1,495
12294,"2014-05-12 13:28:00",19,1,495
12296,"2014-05-12 08:46:00",19,1,495
12297,"2014-05-12 12:25:00",19,1,495
12301,"2014-05-12 13:01:00",19,1,495
12302,"2014-05-12 15:28:00",19,1,495
12303,"2014-05-12 12:21:00",19,1,495
12310,"2014-05-12 08:53:00",19,1,495
12311,"2014-05-12 09:40:00",19,1,495
12312,"2014-05-12 16:41:00",19,1,495
12313,"2014-05-12 17:04:00",19,1,495
12315,"2014-05-12 11:17:00",19,1,495
12318,"2014-05-12 11:03:00",19,1,495
12319,"2014-05-12 18:10:00",19,1,495
12323,"2014-05-12 16:00:00",19,1,495
12324,"2014-05-12 09:09:00",19,1,495
12325,"2014-05-12 15:56:00",19,1,495
12326,"2014-05-12 02:04:00",19,1,495
12327,"2014-05-12 16:20:00",19,1,495
12328,"2014-05-12 13:46:00",19,1,495
12330,"2014-05-12 11:43:00",19,1,495
12333,"2014-05-12 00:57:00",19,1,495
12334,"2014-05-12 11:00:00",19,1,495
12335,"2014-05-12 14:03:00",19,1,495
12337,"2014-05-12 17:17:00",19,1,495
12341,"2014-05-12 11:50:00",19,1,495
12346,"2014-05-13 12:17:00",19,1,495
12348,"2014-05-13 14:11:00",19,1,495
12350,"2014-05-13 06:58:00",19,1,495
12352,"2014-05-13 02:51:00",19,1,495
12355,"2014-05-13 01:21:00",19,1,495
12356,"2014-05-13 14:20:00",19,1,495
12357,"2014-05-13 21:40:00",19,1,495
12358,"2014-05-13 17:37:00",19,1,495
12361,"2014-05-13 11:01:00",19,1,495
12363,"2014-05-13 08:36:00",19,1,495
12367,"2014-05-13 01:47:00",19,1,495
12369,"2014-05-13 04:31:00",19,1,495
12370,"2014-05-13 17:38:00",19,1,495
12372,"2014-05-13 13:58:00",19,1,495
12373,"2014-05-13 16:01:00",19,1,495
12375,"2014-05-13 13:30:00",19,1,495
12382,"2014-05-13 09:46:00",19,1,495
12383,"2014-05-13 12:27:00",19,1,495
12386,"2014-05-13 16:09:00",19,1,495
12388,"2014-05-13 15:01:00",19,1,495
12389,"2014-05-13 16:36:00",19,1,495
12391,"2014-05-13 18:04:00",19,1,495
12393,"2014-05-13 17:30:00",19,1,495
12395,"2014-05-13 02:29:00",19,1,495
12397,"2014-05-13 08:02:00",19,1,495
12400,"2014-05-13 13:28:00",19,1,495
12402,"2014-05-13 10:41:00",19,1,495
12403,"2014-05-13 03:05:00",19,1,495
12404,"2014-05-13 17:59:00",19,1,495
12406,"2014-05-13 08:45:00",19,1,495
12407,"2014-05-13 17:17:00",19,1,495
12408,"2014-05-13 15:01:00",19,1,495
12411,"2014-05-13 18:01:00",19,1,495
12417,"2014-05-13 16:34:00",19,1,495
